lon,lat,segment
-117,42,4
-115,40.16666667,4
-124.6317833,48.38105,4
-124.7317833,48.38105,4
-124.7367833,48.39155,4
-124.7272453,48.49344527,1
-124.7272453,48.49344527,1
-124.7516608,48.49720504,1
-124.7760752,48.5009609,1
-124.788304,48.50284,1
-124.8132691,48.50430439,1
-124.8382357,48.50576337,1
-124.840527,48.505897,1
-124.8655658,48.50516342,1
-124.8906039,48.50442441,1
-124.9156413,48.50367995,1
-124.915807,48.503675,1
-124.940751,48.50206188,1
-124.9656934,48.50044335,1
-124.988586,48.498953,1
-125.003031,48.495342,1
-125.0150551,48.49199737,1
-125.0150551,48.49199737,1
-125.0261451,48.48891241,1
-125.0492533,48.48247818,1
-125.0723557,48.4760393,1
-125.0954522,48.46959579,1
-125.097755,48.468953,1
-125.1195936,48.46080164,1
-125.1414253,48.45264611,1
-125.141645,48.452564,1
-125.154701,48.446175,1
-125.1750398,48.43646654,1
-125.1953709,48.42675447,1
-125.2156943,48.41703878,1
-125.2360099,48.40731949,1
-125.2563177,48.39759661,1
-125.2766178,48.38787012,1
-125.2969102,48.37814004,1
-125.3171948,48.36840636,1
-125.3374718,48.35866909,1
-125.3440688,48.35549891,1
-125.3440688,48.35549891,1
-125.3577409,48.34892823,1
-125.3780024,48.33918379,1
-125.381371,48.337563,1
-125.4045893,48.33142049,1
-125.4278021,48.32527329,1
-125.4510093,48.31912141,1
-125.4742109,48.31296483,1
-125.4974069,48.30680358,1
-125.500818,48.305897,1
-125.5235438,48.29900472,1
-125.5462635,48.29210794,1
-125.568977,48.28520666,1
-125.5916845,48.2783009,1
-125.6143858,48.27139064,1
-125.637081,48.2644759,1
-125.65977,48.25755667,1
-125.682453,48.25063294,1
-125.7051298,48.24370475,1
-125.7278005,48.23677207,1
-125.750465,48.22983492,1
-125.7731235,48.22289329,1
-125.7957758,48.21594719,1
-125.818422,48.20899661,1
-125.841062,48.20204157,1
-125.8636959,48.19508207,1
-125.8863237,48.1881181,1
-125.898049,48.184507,1
-125.9186173,48.1751164,1
-125.9391781,48.16572211,1
-125.9597313,48.15632412,1
-125.9802771,48.14692245,1
-126.0008154,48.13751708,1
-126.0213461,48.12810804,1
-126.0418694,48.11869531,1
-126.0623852,48.10927891,1
-126.0828934,48.09985883,1
-126.1033942,48.09043507,1
-126.1238875,48.08100764,1
-126.1443733,48.07157655,1
-126.1648516,48.06214178,1
-126.1853224,48.05270335,1
-126.2057857,48.04326126,1
-126.2262416,48.03381551,1
-126.24669,48.02436611,1
-126.2671309,48.01491305,1
-126.2875643,48.00545634,1
-126.3079903,47.99599598,1
-126.3284088,47.98653198,1
-126.3488198,47.97706433,1
-126.3692234,47.96759304,1
