lon,lat,segment
-123.090698029,49.002057967,1
-123.322239621,49.002071655,1
-123.008485847,48.831218973,1
-123.008486221,48.767098678,1
-123.267878258,48.693993967,1
-123.218929964,48.548709303,1
-123.159874267,48.453508896,1
-123.115138396,48.422831224,1
-123.248436586,48.28401632,1
-123.541217403,48.224553591,1
-123.679064711,48.239996982,1
-124.01205691,48.296670862,1
-124.727245304,48.493445266,1
-124.727245304,48.493445266,1
-124.7516608,48.497205041,1
-124.776075215,48.500960902,1
-124.788304004,48.502840001,1
-124.813269118,48.504304391,1
-124.838235651,48.505763369,1
-124.840526996,48.505896996,1
-124.865565817,48.505163422,1
-124.89060391,48.504424406,1
-124.915641265,48.503679948,1
-124.915807,48.503675,1
-124.940750999,48.502061881,1
-124.965693406,48.500443354,1
-124.988585999,48.498952998,1
-125.003030994,48.495341997,1
-125.015055146,48.491997369,1
-125.015055146,48.491997369,1
-125.026145067,48.488912413,1
-125.049253299,48.482478178,1
-125.072355678,48.4760393,1
-125.095452215,48.469595785,1
-125.097755,48.468953003,1
-125.119593642,48.460801635,1
-125.1414253,48.45264611,1
-125.141645002,48.452563999,1
-125.154700998,48.446175,1
-125.175039832,48.436466538,1
-125.195370919,48.426754465,1
-125.215694261,48.417038781,1
-125.236009856,48.407319492,1
-125.256317706,48.397596611,1
-125.276617822,48.387870124,1
-125.296910203,48.378140035,1
-125.317194849,48.368406361,1
-125.337471762,48.358669091,1
-125.344068827,48.355498907,1
-125.344068827,48.355498907,1
-125.35774094,48.348928225,1
-125.378002395,48.339183785,1
-125.381370998,48.337562997,1
-125.404589335,48.331420492,1
-125.427802096,48.325273294,1
-125.45100927,48.319121408,1
-125.474210868,48.312964834,1
-125.497406878,48.306803577,1
-125.500817998,48.305897002,1
-125.523543794,48.299004723,1
-125.546263472,48.292107942,1
-125.56897702,48.285206664,1
-125.591684461,48.278300896,1
-125.614385773,48.271390644,1
-125.637080955,48.264475898,1
-125.659770019,48.257556665,1
-125.682452964,48.250632943,1
-125.70512978,48.243704747,1
-125.727800466,48.236772067,1
-125.750465034,48.229834917,1
-125.773123472,48.222893288,1
-125.79577578,48.215947186,1
-125.818421959,48.20899661,1
-125.841062007,48.202041573,1
-125.863695926,48.195082067,1
-125.886323715,48.188118097,1
-125.898048997,48.184507002,1
-125.918617287,48.175116403,1
-125.939178074,48.165722112,1
-125.959731345,48.15632412,1
-125.980277113,48.14692245,1
-126.000815378,48.137517083,1
-126.021346127,48.128108044,1
-126.041869385,48.118695314,1
-126.06238515,48.109278908,1
-126.082893413,48.099858826,1
-126.103394183,48.090435066,1
-126.123887461,48.081007642,1
-126.144373259,48.071576545,1
-126.164851565,48.062141782,1
-126.185322379,48.052703353,1
-126.205785724,48.043261263,1
-126.226241577,48.033815511,1
-126.246689961,48.024366112,1
-126.267130865,48.014913049,1
-126.2875643,48.005456344,1
-126.307990267,47.995995981,1
-126.328408764,47.986531982,1
-126.348819792,47.97706433,1
-126.369223364,47.967593039,1
-126.389619478,47.958118109,1
-126.410008123,47.948639545,1
-126.43038931,47.939157348,1
-126.450763052,47.929671516,1
-126.471129337,47.920182062,1
-126.491488176,47.910688979,1
-126.511839569,47.901192266,1
-126.532183516,47.891691936,1
-126.552520029,47.882187988,1
-126.572849097,47.872680422,1
-126.593170718,47.863169244,1
-126.613484917,47.853654453,1
-126.633791682,47.844136056,1
-126.654091012,47.834614052,1
-126.67438292,47.825088447,1
-126.683902997,47.820616999,1
-126.705190294,47.812139696,1
-126.726470676,47.803658443,1
-126.747744121,47.795173221,1
-126.769010639,47.786684053,1
-126.79027022,47.778190938,1
-126.811522885,47.769693866,1
-126.832768636,47.761192853,1
-126.854007449,47.752687887,1
-126.875239347,47.744178985,1
-126.896464331,47.735666145,1
-126.917682388,47.727149365,1
-126.938893519,47.718628652,1
-126.960097747,47.710104013,1
-126.981295049,47.701575438,1
-127.002485447,47.693042941,1
-127.023668919,47.684506514,1
-127.044845488,47.675966163,1
-127.066015142,47.667421894,1
-127.087177881,47.658873715,1
-127.108333717,47.650321615,1
-127.129482638,47.641765602,1
-127.150624656,47.633205683,1
-127.171759771,47.624641846,1
-127.192887983,47.616074116,1
-127.200864004,47.612838002,1
-127.220694574,47.602957879,1
-127.240517664,47.593074317,1
-127.260333297,47.583187307,1
-127.280141472,47.573296863,1
-127.299942179,47.563402985,1
-127.319735428,47.55350567,1
-127.339521231,47.54360492,1
-127.359299589,47.53370074,1
-127.379070489,47.523793136,1
-127.398833944,47.51388211,1
-127.418589964,47.503967666,1
-127.438338539,47.494049796,1
-127.458079668,47.484128508,1
-127.477813374,47.474203808,1
-127.497539646,47.464275696,1
-127.517258495,47.454344169,1
-127.536969922,47.444409244,1
-127.556673914,47.434470911,1
-127.576370495,47.424529176,1
-127.596059654,47.414584041,1
-127.615741401,47.404635502,1
-127.635415737,47.394683575,1
-127.655082663,47.384728252,1
-127.674742188,47.374769539,1
-127.691156999,47.366449,1
-127.710159992,47.355924259,1
-127.729155425,47.345396346,1
-127.748143307,47.334865268,1
-127.76712364,47.324331025,1
-127.786096435,47.313793616,1
-127.805061669,47.303253055,1
-127.824019376,47.292709335,1
-127.842969545,47.282162463,1
-127.861912188,47.271612437,1
-127.880847292,47.261059258,1
-127.899774882,47.250502939,1
-127.918694944,47.239943474,1
-127.937607492,47.22938086,1
-127.956512513,47.218815113,1
-127.975410042,47.208246225,1
-127.994300045,47.197674202,1
-128.013182556,47.187099052,1
-128.032057563,47.176520766,1
-128.050925078,47.165939351,1
-128.069785102,47.155354816,1
-128.088637633,47.14476715,1
-128.107482673,47.134176369,1
-128.126320232,47.123582466,1
-128.14515031,47.112985445,1
-128.16397292,47.102385316,1
-128.182788061,47.09178207,1
-128.201595722,47.081175721,1
-128.220395925,47.070566261,1
-128.239188671,47.059953697,1
-128.257973948,47.049338029,1
-128.276751779,47.038719264,1
-128.295522165,47.028097401,1
-128.314285093,47.01747244,1
-128.333040587,47.006844387,1
-128.351788635,46.996213243,1
-128.370529249,46.985579014,1
-128.389262429,46.9749417,1
-128.407988175,46.9643013,1
-128.426706509,46.953657821,1
-128.445417409,46.943011263,1
-128.464120898,46.932361626,1
-128.482816965,46.921708916,1
-128.501505632,46.911053132,1
-128.520186887,46.900394283,1
-128.538860732,46.889732367,1
-128.557527177,46.879067384,1
-128.576186234,46.868399341,1
-128.594837891,46.857728229,1
-128.61348216,46.847054072,1
-128.632119041,46.836376846,1
-128.650748546,46.825696581,1
-128.669370663,46.815013253,1
-128.687985403,46.804326885,1
-128.706592778,46.793637469,1
-128.725192788,46.782945004,1
-128.743785434,46.772249506,1
-128.762370714,46.761550957,1
-128.780948629,46.750849381,1
-128.799519203,46.74014477,1
-128.818082423,46.729437122,1
-128.83663829,46.718726446,1
-128.855186814,46.708012741,1
-128.867027003,46.701170001,1
-128.884598401,46.689707677,1
-128.902162376,46.678242627,1
-128.919718906,46.666774866,1
-128.937268024,46.655304378,1
-128.954809719,46.643831186,1
-128.972343992,46.632355283,1
-128.989870854,46.620876669,1
-129.007390316,46.609395342,1
-129.024902367,46.597911319,1
-129.042407018,46.586424591,1
-129.059904282,46.574935158,1
-129.077394157,46.563443029,1
-129.094876644,46.55194821,1
-129.112351743,46.540450694,1
-129.128735423,46.529664358,1
-129.128735423,46.529664358,2
-129.124073299,46.523503247,2
-129.11280356,46.508781501,2
-129.101433624,46.494097609,2
-129.089963834,46.479451912,2
-129.078394545,46.464844733,2
-129.066726073,46.450276412,2
-129.054958786,46.435747283,2
-129.043093014,46.421257679,2
-129.0311291,46.406807922,2
-129.024972267,46.399433012,2
-129.019297804,46.392359217,2
-129.015390253,46.38751022,2
-129.014651901,46.386127184,2
-129.014651901,46.386127184,2
-129.011205388,46.379695226,2
-129.00276347,46.364102682,2
-128.994214056,46.348538825,2
-128.985557435,46.333004018,2
-128.976793906,46.31749862,2
-128.967923758,46.302022993,2
-128.958947292,46.286577496,2
-128.949864784,46.271162494,2
-128.940676557,46.255778345,2
-128.931382901,46.240425399,2
-128.921984127,46.225104022,2
-128.912480524,46.209814565,2
-128.902872402,46.194557378,2
-128.893160075,46.179332831,2
-128.888167209,46.171581684,2
-128.88813521,46.171197599,2
-128.886689369,46.154575811,2
-128.885125065,46.137959185,2
-128.883442437,46.121348114,2
-128.881641647,46.104743018,2
-128.879722832,46.0881443,2
-128.877686155,46.071552373,2
-128.875531766,46.054967632,2
-128.873259826,46.03839049,2
-128.870870485,46.021821362,2
-128.868363928,46.005260644,2
-128.865740294,45.988708735,2
-128.862999767,45.972166057,2
-128.860142521,45.955633003,2
-128.85916948,45.950153732,2
-128.857159631,45.939059077,2
-128.854069465,45.922546476,2
-128.850863098,45.906044715,2
-128.847540716,45.889554185,2
-128.844102503,45.873075289,2
-128.840548633,45.85660842,2
-128.836879313,45.840153997,2
-128.833094728,45.823712406,2
-128.829195051,45.807284043,2
-128.825180501,45.790869311,2
-128.821051275,45.774468606,2
-128.816807546,45.758082324,2
-128.812449556,45.741710856,2
-128.807977479,45.725354605,2
-128.803391521,45.709013961,2
-128.798691915,45.692689315,2
-128.793878856,45.676381065,2
-128.788952552,45.660089602,2
-128.783913234,45.64381531,2
-128.778761121,45.627558595,2
-128.77349641,45.611319827,2
-128.768119354,45.595099413,2
-128.76263015,45.578897731,2
-128.757029052,45.562715166,2
-128.751316267,45.546552119,2
-128.745492038,45.530408961,2
-128.739770088,45.514860485,2
-128.738373285,45.508672766,2
-128.738650821,45.499046322,2
-128.739037424,45.482394462,2
-128.739305668,45.4657414,2
-128.739455657,45.449087553,2
-128.739487495,45.432433346,2
-128.739401274,45.415779175,2
-128.739197098,45.399125475,2
-128.738875083,45.382472649,2
-128.738435344,45.365821108,2
-128.737877997,45.349171275,2
-128.737203157,45.332523552,2
-128.736410927,45.315878363,2
-128.735501458,45.29923612,2
-128.734474854,45.282597223,2
-128.733331254,45.265962093,2
-128.732560334,45.25560897,2
-128.734667105,45.240361393,2
-128.736843717,45.223777721,2
-128.738901946,45.207186492,2
-128.740841839,45.190588122,2
-128.742663432,45.17398304,2
-128.74363421,45.164658635,2
-128.743875291,45.162397451,2
-128.745578859,45.145786062,2
-128.747164288,45.129168793,2
-128.748631635,45.11254606,2
-128.749980958,45.09591828,2
-128.751212349,45.079285878,2
-128.752325855,45.062649272,2
-128.753321556,45.046008879,2
-128.753366208,45.045213272,2
-128.754536232,45.029389332,2
-128.755651135,45.012752659,2
-128.756648336,44.996112184,2
-128.757527918,44.979468334,2
-128.758289961,44.962821512,2
-128.758934545,44.946172154,2
-128.759461763,44.929520664,2
-128.759871695,44.912867462,2
-128.760164435,44.89621297,2
-128.760340075,44.879557585,2
-128.760398717,44.862901745,2
-128.760340455,44.846245857,2
-128.760165405,44.829590327,2
-128.759873658,44.812935587,2
-128.759465318,44.796282028,2
-128.758940513,44.779630083,2
-128.758299346,44.762980161,2
-128.757541932,44.746332671,2
-128.756668388,44.72968803,2
-128.755678851,44.71304664,2
-128.754573426,44.696408929,2
-128.753381734,44.680159119,2
-128.753860503,44.665156423,2
-128.754280929,44.648502608,2
-128.754584705,44.631847448,2
-128.754771911,44.615191367,2
-128.75484264,44.598534779,2
-128.754796996,44.581878093,2
-128.75463507,44.565221727,2
-128.75435698,44.548566104,2
-128.754268346,44.544358253,2
-128.754419005,44.542031904,2
-128.755430036,44.525390723,2
-128.756324405,44.508746093,2
-128.757102182,44.492098419,2
